PageId,Published,ProjectName,ProjectCountry,NoticeLanguage,ContactName,SubmissionDate,ProcurementType,MajorSector,BidReference,ProjectId,NoticeType,ContactOrganization,ContractSignatureDate,ProcurementGroup
635,41494,"PNG Road Maintenance & Rehab Project II","Papua New Guinea",English,N/A,41494,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","ICB Award",P119471,"Contract Award",Published,N/A,41655
639,41659,"PNG Road Maintenance & Rehab Project II","Papua New Guinea",English,N/A,41659,"Works, Infrastructure","Public Administration, Law, and Justice; Transportation","ICB Award",P119471,"Contract Award",Published,N/A,41655
1306,40731,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,40731,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
1307,40900,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,40900,"Equipment Information Technology","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P115634,"Contract Award",Published,N/A,41641
1308,41319,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,41319,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
1309,41626,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,41626,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
1310,41626,"DISASTER & CLIMATE RISK MGT",Moldova,English,N/A,41626,"Equipment Information Technology","Public Administration, Law, and Justice","ICB Award",P115634,"Contract Award",Published,N/A,41641
7502,41660,"VN-Rural Water Supply & Sanitation (P4R)",Vietnam,English,N/A,41660,"Audit Services","Water, sanitation and flood protection; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P127435,"Contract Award",Published,N/A,41659
7505,41665,"RY-Biogas Digesters","Yemen, Republic of",English,N/A,41665,"Project Management","Energy and mining; Agriculture, fishing, and forestry","Small Contracts Award (DIR,CQS,INDV,SSS)",P119160,"Contract Award",Revised,N/A,41648
7506,41673,"RY-Biogas Digesters","Yemen, Republic of",English,N/A,41673,"Project Management","Energy and mining; Agriculture, fishing, and forestry","Small Contracts Award (DIR,CQS,INDV,SSS)",P119160,"Contract Award",Published,N/A,41648
1,41169,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41169,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","ICB Award",P128939,"Contract Award",Published,N/A,40906
2,41169,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41169,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","ICB Award",P128939,"Contract Award",Published,N/A,40906
3,41172,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41172,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128939,"Contract Award",Revised,N/A,40906
4,41221,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41221,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128939,"Contract Award",Revised,N/A,40906
5,41547,"Pacific Aviation Investment - Tonga",Tonga,English,N/A,41547,"Procurement Technical Assistance","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128939,"Contract Award",Published,N/A,40906
6,41306,"CN - Sichuan Small Towns Development",China,English,N/A,41306,"Construction Supervision","Water, sanitation and flood protection; Water, sanitation and flood protection; Water, sanitation and flood protection; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P110632,"Contract Award",Published,N/A,41633
7,41626," AR 2nd Norte Grande Water Infrastr.",Argentina,Spanish,N/A,41626,"Works, Infrastructure","Public Administration, Law, and Justice; Water, sanitation and flood protection; Water, sanitation and flood protection","ICB Award",P125151,"Contract Award",Published,N/A,41631
8,41122,"BD: Siddhirganj Peaking Power Project",Bangladesh,English,N/A,41122,"Equipment, Industrial Plants","Energy and mining; Energy and mining; Energy and mining","ICB Award",P095965,"Contract Award",Published,N/A,40507
9,41627,"IRRIGATION SYSTEM ENHANCEMENT PROJECT",Armenia,English,N/A,41627,"Works, Infrastructure","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P127759,"Contract Award",Published,N/A,41626
10,41628,"IRRIGATION SYSTEM ENHANCEMENT PROJECT",Armenia,English,N/A,41628,"Works, Infrastructure","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","ICB Award",P127759,"Contract Award",Published,N/A,41626
11,41656,"IRRIGATION SYSTEM ENHANCEMENT PROJECT",Armenia,English,N/A,41656,"Works, Infrastructure","Public Administration, Law, and Justice; Agriculture, fishing, and forestry","Consultant Award (QCBS, QBS, FCS, LCS)",P127759,"Contract Award",Published,N/A,41626
12,41169,"Pacific Aviation Investment - Tuvalu",Tuvalu,English,N/A,41169,"Project Management","Public Administration, Law, and Justice; Transportation","ICB Award",P128940,"Contract Award",Published,N/A,41149
13,41169,"Pacific Aviation Investment - Tuvalu",Tuvalu,English,N/A,41169,"Project Management","Public Administration, Law, and Justice; Transportation","ICB Award",P128940,"Contract Award",Published,N/A,41149
14,41547,"Pacific Aviation Investment - Tuvalu",Tuvalu,English,N/A,41547,"Project Management","Public Administration, Law, and Justice; Transportation","Small Contracts Award (DIR,CQS,INDV,SSS)",P128940,"Contract Award",Published,N/A,41149
15,41584,"Jakarta Urgent Flood Mitigation Project",Indonesia,English,N/A,41584,"Works, Infrastructure","Water, sanitation and flood protection","ICB Award",P111034,"Contract Award",Published,N/A,41604
16,41604,"Jakarta Urgent Flood Mitigation Project",Indonesia,English,N/A,41604,"Works, Infrastructure","Water, sanitation and flood protection","ICB Award",P111034,"Contract Award",Published,N/A,41604
17,41613,"Jakarta Urgent Flood Mitigation Project",Indonesia,English,N/A,41613,"Works, Infrastructure","Water, sanitation and flood protection","ICB Award",P111034,"Contract Award",Revised,N/A,41604
18,41513,"3A-Abidjan-Lagos Trade and Transp- APL-2",Africa,French,N/A,41513,"Financial Services","Industry and trade; Transportation; Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P116323,"Contract Award",Published,N/A,41177
19,41526,"3A-Abidjan-Lagos Trade and Transp- APL-2",Africa,French,N/A,41526,"Financial Services","Industry and trade; Transportation; Public Administration, Law, and Justice; Transportation","ICB Award",P116323,"Contract Award",Published,N/A,41177
20,41592,"VN-Coastal Resources for Sustainable Dev",Vietnam,English,N/A,41592,"Equipment, Telecommunications","Water, sanitation and flood protection; Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Public Administration, Law, and Justice; Transportation","ICB Award",P118979,"Contract Award",Published,N/A,41614
21,40882,"VN-EXPRESSWAY DEVEL DaNang-QNgai",Vietnam,English,N/A,40882,"Audit Services","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P106235,"Contract Award",Revised,N/A,41397
22,41312,"VN-EXPRESSWAY DEVEL DaNang-QNgai",Vietnam,English,N/A,41312,"Audit Services","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P106235,"Contract Award",Published,N/A,41397
23,41397,"VN-EXPRESSWAY DEVEL DaNang-QNgai",Vietnam,English,N/A,41397,"Audit Services","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P106235,"Contract Award",Published,N/A,41397
24,41600,"VN-EXPRESSWAY DEVEL DaNang-QNgai",Vietnam,English,N/A,41600,"Audit Services","Public Administration, Law, and Justice; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P106235,"Contract Award",Published,N/A,41397
25,41600,"VN-EXPRESSWAY DEVEL DaNang-QNgai",Vietnam,English,N/A,41600,"Audit Services","Public Administration, Law, and Justice; Transportation","ICB Award",P106235,"Contract Award",Published,N/A,41397
26,41471,"LR-Integrated PFM Reform",Liberia,English,N/A,41471,"Equipment, Transportation","Public Administration, Law, and Justice","ICB Award",P127319,"Contract Award",Published,N/A,41288
27,41529,"LR-Integrated PFM Reform",Liberia,English,N/A,41529,"Equipment, Transportation","Public Administration, Law, and Justice","Small Contracts Award (DIR,CQS,INDV,SSS)",P127319,"Contract Award",Published,N/A,41288
28,41485,"LA -TA for Hydropower and Mining sectors","Lao People's Democratic Republic",English,N/A,41485,"Institution building","Education; Energy and mining; Public Administration, Law, and Justice; Energy and mining","ICB Award",P109736,"Contract Award",Published,N/A,41228
29,41485,"LA -TA for Hydropower and Mining sectors","Lao People's Democratic Republic",English,N/A,41485,"Institution building","Education; Energy and mining; Public Administration, Law, and Justice; Energy and mining","ICB Award",P109736,"Contract Award",Published,N/A,41228
30,41485,"LA -TA for Hydropower and Mining sectors","Lao People's Democratic Republic",English,N/A,41485,"Institution building","Education; Energy and mining; Public Administration, Law, and Justice; Energy and mining","ICB Award",P109736,"Contract Award",Published,N/A,41228
31,41485,"LA -TA for Hydropower and Mining sectors","Lao People's Democratic Republic",English,N/A,41485,"Institution building","Education; Energy and mining; Public Administration, Law, and Justice; Energy and mining","ICB Award",P109736,"Contract Award",Published,N/A,41228
32,41485,"LA -TA for Hydropower and Mining sectors","Lao People's Democratic Republic",English,N/A,41485,"Institution building","Education; Energy and mining; Public Administration, Law, and Justice; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P109736,"Contract Award",Published,N/A,41228
33,41487,"LA -TA for Hydropower and Mining sectors","Lao People's Democratic Republic",English,N/A,41487,"Institution building","Education; Energy and mining; Public Administration, Law, and Justice; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P109736,"Contract Award",Published,N/A,41228
34,41606,"IN: ICDS Syst Strength & Nut Imp Prog",India,English,N/A,41606,"Management /Technical Advice","Public Administration, Law, and Justice; Education; Public Administration, Law, and Justice; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P121731,"Contract Award",Published,N/A,41578
35,41140,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41140,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
36,41157,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41157,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
37,41157,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41157,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
38,41157,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41157,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
39,41157,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41157,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
40,41234,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41234,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
41,41234,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41234,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
42,41234,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41234,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
43,41618,"Financial Education & Financial Literacy","Russian Federation",English,N/A,41618,"Education Services","Public Administration, Law, and Justice; Finance; Education; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P120338,"Contract Award",Published,N/A,41572
44,41584,"REAL ESTATE REGISTRATION PROJECT","Bosnia and Herzegovina",English,N/A,41584,"Equipment Information Technology","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P128950,"Contract Award",Published,N/A,41584
45,41592,"REAL ESTATE REGISTRATION PROJECT","Bosnia and Herzegovina",English,N/A,41592,"Equipment Information Technology","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P128950,"Contract Award",Published,N/A,41584
46,41649,"REAL ESTATE REGISTRATION PROJECT","Bosnia and Herzegovina",English,N/A,41653,"Equipment Information Technology","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P128950,"Contract Award",Published,N/A,41584
47,41501,"AG COMP",Moldova,English,N/A,41501,"Equipment, Agricultural","Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P118518,"Contract Award",Published,N/A,41577
48,41501,"AG COMP",Moldova,English,N/A,41501,"Equipment, Agricultural","Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P118518,"Contract Award",Published,N/A,41577
49,41501,"AG COMP",Moldova,English,N/A,41501,"Equipment, Agricultural","Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P118518,"Contract Award",Published,N/A,41577
50,41501,"AG COMP",Moldova,English,N/A,41501,"Equipment, Agricultural","Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P118518,"Contract Award",Published,N/A,41577
51,41501,"AG COMP",Moldova,English,N/A,41501,"Equipment, Agricultural","Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P118518,"Contract Award",Published,N/A,41577
52,41501,"AG COMP",Moldova,English,N/A,41501,"Equipment, Agricultural","Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P118518,"Contract Award",Published,N/A,41577
53,41346,"ENERGY EFFICIENCY",Armenia,English,N/A,41346,"Management /Technical Advice","Energy and mining","Small Contracts Award (DIR,CQS,INDV,SSS)",P116680,"Contract Award",Published,N/A,40177
54,41563,"KG READ - Phase II","Kyrgyz Republic",English,N/A,41563,"Equipment Information Technology","Education; Education","Small Contracts Award (DIR,CQS,INDV,SSS)",P127118,"Contract Award",Published,N/A,41554
55,41199,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41199,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Revised,N/A,41305
56,41200,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41200,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Published,N/A,41305
57,41200,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41200,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Published,N/A,41305
58,41312,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41312,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Published,N/A,41305
59,41312,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41312,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Published,N/A,41305
60,41557,"GN:Mineral Governance Support Project",Guinea,French,N/A,41557,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P122916,"Contract Award",Published,N/A,41675
61,41564,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41564,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Published,N/A,41305
62,41565,"ET: Agricultural Growth Program",Ethiopia,English,N/A,41565,"Equipment, Agricultural","Agriculture, fishing, and forestry; Public Administration, Law, and Justice; Industry and trade; Agriculture, fishing, and forestry","ICB Award",P113032,"Contract Award",Published,N/A,41305
63,41632,"GN:Mineral Governance Support Project",Guinea,French,N/A,41632,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P122916,"Contract Award",Published,N/A,41675
64,41632,"GN:Mineral Governance Support Project",Guinea,French,N/A,41632,"Equipment, Transportation","Energy and mining; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P122916,"Contract Award",Published,N/A,41675
65,41487,"KE-Nairobi Metropolitan Services",Kenya,English,N/A,41487,"Works, Installation","Transportation; Water, sanitation and flood protection; Water, sanitation and flood protection; Public Administration, Law, and Justice","ICB Award",P107314,"Contract Award",Published,N/A,41548
66,41547,"Southern Sudan EmergencyFood Crisis Re","South Sudan",English,N/A,41547,"Construction Supervision","Agriculture, fishing, and forestry; Health and other social services; Agriculture, fishing, and forestry","Small Contracts Award (DIR,CQS,INDV,SSS)",P145339,"Contract Award",Published,N/A,41536
67,40834,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,40834,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Published,N/A,39483
68,40920,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,40920,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Published,N/A,39483
69,40949,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,40949,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
70,40949,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,40949,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
71,40949,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,40949,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
72,40949,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,40949,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
73,40988,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,40988,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P077317,"Contract Award",Published,N/A,39483
74,41072,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41072,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P077317,"Contract Award",Published,N/A,39483
75,41177,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,41177,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P097921,"Contract Award",Published,N/A,41635
76,41177,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,41177,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P097921,"Contract Award",Published,N/A,41635
77,41190,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,41190,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","Consultant Award (QCBS, QBS, FCS, LCS)",P097921,"Contract Award",Published,N/A,41635
78,41407,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,41407,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
79,41408,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,41408,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
80,41408,"NG-Malaria Control Booster Project (07)",Nigeria,English,N/A,41408,"Pharmaceuticals, Medical Products","Health and other social services; Education; Health and other social services; Public Administration, Law, and Justice; Public Administration, Law, and Justice","ICB Award",P097921,"Contract Award",Published,N/A,41635
81,41445,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41445,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Published,N/A,39483
82,41449,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41449,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Revised,N/A,39483
83,41514,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41514,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Published,N/A,39483
84,41514,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41514,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P077317,"Contract Award",Published,N/A,39483
85,41514,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41514,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P077317,"Contract Award",Published,N/A,39483
86,41660,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41660,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Published,N/A,39483
87,41660,"GN-Elec. Sec. Eff. Impr. SIL (FY06)",Guinea,French,N/A,41660,"Sector Studies","Energy and mining; Energy and mining; Energy and mining","ICB Award",P077317,"Contract Award",Published,N/A,39483
88,41234,"CN-Shandong Confucius & Mencius Culture",China,English,N/A,41234,"Sector Studies","Public Administration, Law, and Justice; Education; Water, sanitation and flood protection; Health and other social services","Small Contracts Award (DIR,CQS,INDV,SSS)",P120234,"Contract Award",Published,N/A,41542
89,41340,"CN-Shandong Confucius & Mencius Culture",China,English,N/A,41340,"Sector Studies","Public Administration, Law, and Justice; Education; Water, sanitation and flood protection; Health and other social services","Consultant Award (QCBS, QBS, FCS, LCS)",P120234,"Contract Award",Published,N/A,41542
90,41370,"BD: Chittagong Water Supply Improvement",Bangladesh,English,N/A,41370,"Procurement Technical Assistance","Water, sanitation and flood protection; Water, sanitation and flood protection; Water, sanitation and flood protection; Public Administration, Law, and Justice; Water, sanitation and flood protection","ICB Award",P103999,"Contract Award",Revised,N/A,40790
91,41444,"BD: Chittagong Water Supply Improvement",Bangladesh,English,N/A,41444,"Procurement Technical Assistance","Water, sanitation and flood protection; Water, sanitation and flood protection; Water, sanitation and flood protection; Public Administration, Law, and Justice; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P103999,"Contract Award",Published,N/A,40790
92,41614,"Improving Disaster Risk Management",Mongolia,English,N/A,41614,"Environmental Studies","Agriculture, fishing, and forestry; Information and communications; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P129541,"Contract Award",Published,N/A,41534
93,41614,"Improving Disaster Risk Management",Mongolia,English,N/A,41614,"Environmental Studies","Agriculture, fishing, and forestry; Information and communications; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P129541,"Contract Award",Published,N/A,41534
94,41621,"BD: Chittagong Water Supply Improvement",Bangladesh,English,N/A,41624,"Procurement Technical Assistance","Water, sanitation and flood protection; Water, sanitation and flood protection; Water, sanitation and flood protection; Public Administration, Law, and Justice; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P103999,"Contract Award",Published,N/A,40790
95,40709,"IN:National Cyclone Risk Mitigation Proj",India,English,N/A,40709,"Training Services","Information and communications; Public Administration, Law, and Justice; Transportation; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P092217,"Contract Award",Published,N/A,41648
96,40785,"IN:National Cyclone Risk Mitigation Proj",India,English,N/A,40785,"Training Services","Information and communications; Public Administration, Law, and Justice; Transportation; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P092217,"Contract Award",Published,N/A,41648
97,40793,"IN:National Cyclone Risk Mitigation Proj",India,English,N/A,40793,"Training Services","Information and communications; Public Administration, Law, and Justice; Transportation; Water, sanitation and flood protection","Small Contracts Award (DIR, CQS, SSS)",P092217,"Contract Award",Published,N/A,41648
98,41386,"IN:National Cyclone Risk Mitigation Proj",India,English,N/A,41386,"Training Services","Information and communications; Public Administration, Law, and Justice; Transportation; Water, sanitation and flood protection","Consultant Award (QCBS, QBS, FCS, LCS)",P092217,"Contract Award",Published,N/A,41648
99,41528,"BO Nat'l Roads & Airport Infrastructure",Bolivia,Spanish,N/A,41528,"Construction Supervision","Transportation; Transportation","Consultant Award (QCBS, QBS, FCS, LCS)",P122007,"Contract Award",Published,N/A,41527
100,41550," CM - Lom Pangar Hydropower Proj. (FY12)",Cameroon,French,N/A,41550,"Management /Technical Advice","Health and other social services; Health and other social services; Public Administration, Law, and Justice; Transportation; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P114077,"Contract Award",Published,N/A,41346
101,40735,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40735,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","Consultant Award (QCBS, QBS, FCS, LCS)",P112334,"Contract Award",Published,N/A,41095
102,40784,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40784,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","ICB Award",P112334,"Contract Award",Published,N/A,41095
103,40784,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40784,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","ICB Award",P112334,"Contract Award",Published,N/A,41095
104,40784,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40784,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","ICB Award",P112334,"Contract Award",Published,N/A,41095
105,40784,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40784,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","ICB Award",P112334,"Contract Award",Published,N/A,41095
106,40784,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40784,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","ICB Award",P112334,"Contract Award",Published,N/A,41095
107,40791,"UG: Energy for Rural Transformation APL2",Uganda,English,N/A,40791,"Management /Technical Advice","Public Administration, Law, and Justice; Information and communications; Public Administration, Law, and Justice; Energy and mining; Energy and mining","ICB Award",P112334,"Contract Award",Revised,N/A,41095
